Rank,City,County,State,Country,RentIndex,GroceriesIndex,LocalPurchasingPowerIndex,Median,Lat,Lng
1,Albany,Alameda County,CA,United States,31.01,77.5,108.77,300000,37.8906499,-122.3181164
36,Albuquerque,Bernalillo County,NM,United States,27.29,64.42,128.27,300000,34.979469,-106.797939
95,Anchorage,Matanuska-Susitna Borough,AK,United States,39.45,96.74,138.38,84804,61.355597,-150.16935
120,Ann Arbor,Alcona County,MI,United States,47.59,60.7,128.99,58461,42.2850587,-83.7507189
136,Arlington,Calhoun County,GA,United States,30.98,64.58,141.64,18746,31.436823,-84.729732
205,Asheville,Alamance County,NC,United States,37.19,71.47,104.81,32415,35.5904439,-82.5453771
215,Atlanta,DeKalb County,GA,United States,46.89,66.94,150.38,70197,33.875954,-84.334763
279,Austin,Adams County,IN,United States,50.35,65.81,151.25,25875,38.7495378,-85.8141425
364,Bakersfield,Kern County,CA,United States,28.95,63.16,151.58,56986,35.321213,-119.018291
402,Baltimore,Baltimore County,MD,United States,42.89,68.71,127.77,63290,39.364165,-76.517585
544,Bellevue,Adair County,IA,United States,61.2,78.24,186,47674,42.2070191,-90.4595153
568,Bellingham,Barnstable County,MA,United States,34.17,68.93,114.33,300000,42.0335072,-71.511925
580,Berkeley,Alameda County,CA,United States,76.39,81.99,119.03,133190,37.8911093,-122.2813663
594,Birmingham,Autauga County,AL,United States,34.03,69.4,107.87,74570,33.4007267,-86.6925733
633,Boise,Ada County,ID,United States,30.85,50.93,120.44,47698,43.6066784,-116.180455
651,Boston,Adair County,KY,United States,76.09,75.71,124.57,60816,37.7729025,-85.6215665
669,Boulder,Adams County,CO,United States,53.54,76.79,112.76,300000,40.0299035,-105.2706095
681,Brooklyn,Fairfield County,CT,United States,81.02,83.16,87.05,100367,41.7872432,-71.9574014
968,Buffalo,Aitkin County,MN,United States,29.3,62.31,111.16,61578,45.2115714,-93.9153733
1018,Burlington,Adams County,CO,United States,41.81,73.17,76.97,46853,39.3072974,-102.2113119
1051,Charleston,Adams County,IL,United States,46.12,90.86,106.06,75693,39.4700387,-88.0932166
1082,Charlotte,Alcona County,MI,United States,41.65,69.21,142.25,66380,42.54767,-84.8738123
1150,Chattanooga,Comanche County,OK,United States,29.58,57.19,124.02,300000,34.460281,-98.579362
1172,Chicago,Cook County,IL,United States,55.53,70.69,133.7,48321,41.837551,-87.681844
1470,Cincinnati,Hamilton County,OH,United States,31.03,52.4,137.31,105537,39.250757,-84.426464
1555,Cleveland,Blount County,AL,United States,28.24,62.06,105.12,44609,33.992756,-86.500325
1640,Columbia,Appling County,GA,United States,27.73,65.6,124.84,24701,31.1995947,-84.9937344
1701,Columbus,Muscogee,GA,United States,36.92,58.94,128.77,41908,32.510197,-84.874946
1815,Dallas,Appling County,GA,United States,43.15,58.5,153.42,55339,33.9231612,-84.8560783
1946,Dayton,Franklin County,ID,United States,21.97,62.6,91.21,43033,42.111246,-111.984615
1994,Denver,Arapahoe County,CO,United States,54.09,67.92,130.34,109574,39.667776,-104.921728
2070,Des Moines,Warren County,IA,United States,33.57,57.09,128.68,300000,41.57259,-93.610243
2099,Detroit,Wayne County,MI,United States,34.22,56.21,97.41,25417,42.383037,-83.102237
2210,El Paso,Anderson County,TX,United States,22.16,54.07,131.7,25472,31.8864366,-106.4288286
2274,Eugene,Baker County,OR,United States,30.44,78.36,99.5,24736,43.9927124,-123.2152039
2291,Everett,Barnstable County,MA,United States,43.44,72.61,119.38,300000,42.4192406,-71.0390042
2307,Fayetteville,Arkansas County,AR,United States,25.9,61.15,109.58,43226,36.124794,-94.1338947
2339,Fort Myers,Lee County,FL,United States,33.45,68.78,104.54,18545,26.578228,-81.861453
2360,Fort Wayne,Adams County,IN,United States,21.74,70.07,124.37,42253,41.0966773,-85.1622524
2391,Fort Worth,Tarrant County,TX,United States,35.53,56.86,140.43,85973,32.822072,-97.489154
2463,Fresno,Fresno County,CA,United States,30.12,54.68,120.12,18417,36.984012,-119.70806
2511,Gainesville,Alachua County,FL,United States,29.02,60.52,106.34,31371,29.6304086,-82.3492862
2540,Grand Rapids,Alcona County,MI,United States,31.04,55.26,129.66,49858,43.0065784,-85.6478324
2577,Greensboro,Hale County,AL,United States,27.34,63.03,133.53,21136,32.700968,-87.5937
2610,Hartford,Geneva County,AL,United States,41.58,83.41,84.71,21608,31.105348,-85.691225
2633,Honolulu,Honolulu County,HI,United States,63.96,96.32,113.58,113392,21.288485,-157.717889
2674,Houston,Aitkin County,MN,United States,43.11,54.36,155.88,68371,43.9233397,-91.5292054
2903,Huntsville,Autauga County,AL,United States,28.65,58.83,162.04,33659,34.7832877,-86.5893471
2927,Indianapolis,Marion County,IN,United States,34.81,67.2,109.93,57622,39.816549,-86.320646
3011,Irvine,Alameda County,CA,United States,65.75,73.87,135.16,66137,33.6920021,-117.7546973
